4:1|22:1,31:33,33:1,33:55,39:6,76:30,7:189
4:61|5:104,5:49,63:5,6:91,6:93,9:97
4:62|28:47
4:64|14:4
4:69|19:58
4:71|2:172,2:282,33:49,33:56,58:11,58:12,58:9,5:6,60:10,62:9,66:6,8:15,8:45
4:74|2:154,2:246,73:20,8:72,8:74,9:111
4:75|17:80,19:5,2:190,2:244,73:20,9:111
4:76|2:190,2:244,73:20,8:72,8:74,9:111,9:34
4:77|14:44,22:41,22:78,24:56,2:110,2:246,2:277,2:43,2:83,58:13,63:10,73:20,9:11,9:5
4:78|2:79,41:52,46:10,8:10
4:80|42:48
4:81|33:3,33:39,33:48
4:83|24:10,24:14,24:20,24:21,2:64
4:84|2:154,2:195,2:246,47:4,5:54,9:120
4:85|11:12,16:77,18:45,22:17,24:45,29:20,2:106,2:109,2:148,2:20,2:259,2:284,33:27,33:52,35:1,41:39,41:53,46:33,48:21,58:6,59:6,5:17,5:19,5:40,65:12,85:9,8:41,9:39
4:86|22:6,33:1,33:52,33:55,41:39,41:53,46:33,5:117,66:8,76:30
4:87|10:90,11:14,13:30,16:2,18:39,20:14,20:8,20:98,21:25,23:116,27:26,28:70,28:88,2:163,2:255,35:3,39:6,40:3,40:62,40:65,44:8,45:26,47:19,59:22,59:23,5:64,64:13,6:102,6:106,6:12,73:9,7:158,9:129,9:31
4:88|13:33,30:29,39:23,39:36,40:33,42:44,42:46
4:89|22:58,2:246,47:4
4:90|8:72
4:92|2:140,2:196,33:51,48:19,48:4,48:7,58:4,5:89,8:72
4:94|24:33,2:282,33:2,33:49,58:11,58:12,58:9,5:6,5:90,60:10,62:9,66:6,8:15,8:45,9:28
4:95|57:10,61:11,9:20
4:96|25:70,33:5,33:50,33:59,33:73,48:14
4:97|16:28,2:11
4:100|25:70,2:246,33:5,33:50,33:59,33:73,48:14,8:49,8:60
4:101|24:29,24:60,24:61,2:198,2:282
4:102|15:2,60:10
4:104|33:51,48:19,48:4,48:7
4:105|29:51,2:213,39:2,39:41,5:48
4:106|25:6,2:199,33:24,33:55,73:20,76:30
4:107|22:38,31:18
4:108|33:9,48:24,8:39
4:109|18:104
4:111|33:51,48:19,48:4,48:7
4:112|33:58
4:113|24:10,24:14,24:20,24:21,2:151,2:64,6:26
4:115|2:109,47:25,47:32,9:113
4:116|5:72
4:119|53:58,6:56,6:70,7:30
4:120|17:64
4:122|103:3,10:4,10:9,11:23,13:29,13:35,14:23,16:31,18:107,18:30,18:31,19:96,20:76,22:14,22:23,22:50,22:56,25:10,26:227,29:58,29:7,29:9,2:25,2:266,2:277,2:82,30:15,30:45,31:8,31:9,32:19,34:4,35:7,38:24,38:28,39:20,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:17,48:29,48:5,57:12,58:22,5:119,5:12,5:85,5:9,5:93,61:12,64:9,65:11,66:8,7:42,7:43,84:25,85:11,95:6,98:7,98:8,9:100,9:72,9:89
4:123|10:104,10:37,11:113,11:20,18:43,27:24,28:81,29:22,29:41,2:107,33:17,40:66,42:31,45:10,53:58,6:70,71:25,9:116,9:16
4:124|16:97,19:60,20:112,21:94,40:40
4:125|16:123,2:112
4:126|10:18,10:66,10:68,14:2,16:49,20:6,22:18,22:64,27:87,29:62,2:231,2:255,2:284,31:20,33:40,34:1,34:22,34:3,35:44,39:68,42:4,42:53,45:13,48:26,49:16,53:31,58:7,59:1,5:97,61:1,62:1,64:1,8:75,9:115
4:127|2:197,2:215,2:270,2:273,33:54
4:128|2:158,2:230,2:233,33:2,33:54
4:129|25:6,33:24
4:131|10:18,10:66,10:68,14:2,16:49,20:6,22:18,22:64,27:87,2:255,2:284,31:20,34:1,34:22,34:3,35:44,39:68,42:4,42:53,45:13,49:16,53:31,57:16,58:7,59:1,5:5,5:57,5:97,61:1,62:1,64:1
4:132|10:18,10:66,10:68,14:2,16:49,20:6,22:18,22:64,27:87,2:255,2:284,31:20,34:1,34:22,34:3,35:44,39:68,42:4,42:53,45:13,49:16,53:31,58:7,59:1,5:97,61:1,62:1,64:1
4:133|18:45,33:27,33:52,48:21
4:135|2:172,33:2,33:54,5:1,5:8,61:14,66:8
4:136|2:278,2:285,33:70,57:28,59:18,5:1,5:35,5:59,5:8,5:90,61:14,9:119,9:28
4:139|10:65
4:140|6:68
4:141|22:69,2:113
4:143|13:33,39:23,39:36,40:33,42:44,42:46
4:144|24:21,24:27,2:172,2:282,33:49,33:53,33:56,58:11,58:12,58:9,5:51,5:57,5:6,60:1,60:10,60:13,61:10,61:2,62:9,66:6,8:15,8:45,9:23
4:146|2:160
4:149|33:54
4:152|25:70,33:5,33:50,33:59,33:73,48:14,57:19,57:21
4:153|15:14,2:209,2:213,2:253,2:55,98:4
4:154|33:7
4:157|18:5,19:34,53:28
4:158|48:19,48:4,48:7
4:159|2:105,2:109
4:162|13:36,2:136,2:4,5:59
4:163|2:136,2:140
4:164|16:118
4:165|2:150,48:19,48:4,48:7
4:167|11:19,14:3,16:88,22:25,22:9,2:217,47:1,47:32,47:34,58:16,63:2,7:45,7:86,8:36,8:47,9:34
4:169|14:20,22:70,29:19,33:19,33:30,35:11,35:17,48:5,57:22,72:23,9:22
4:170|10:101,10:108,10:55,10:57,16:52,17:55,21:19,24:64,2:116,31:26,33:51,48:19,48:4,48:7,57:1,59:24,6:12
4:171|10:18,10:66,10:68,14:2,16:49,19:34,20:6,22:18,22:64,27:87,2:116,2:169,2:255,2:284,31:20,34:1,34:22,34:3,35:44,39:68,42:4,42:53,45:13,49:16,53:31,58:7,59:1,5:15,5:19,5:59,5:77,5:97,61:1,62:1,64:1,6:101,7:105,7:169,7:33
4:173|103:3,10:104,10:37,10:4,10:9,11:113,11:20,11:23,13:29,14:23,18:107,18:30,18:43,19:96,22:14,22:23,22:50,22:56,26:227,27:24,28:81,29:22,29:41,29:58,29:7,29:9,2:107,2:25,2:277,2:82,30:15,30:45,31:8,32:19,33:17,34:4,35:30,35:7,38:24,38:28,40:58,40:66,41:8,42:22,42:23,42:26,42:31,45:10,45:21,45:30,47:12,47:2,48:29,53:58,5:9,5:93,65:11,6:70,71:25,7:42,84:25,85:11,95:6,98:7,9:116,9:16
4:174|10:108,10:57
4:176|24:35,24:64,29:62,2:231,2:282,49:16,58:7,5:97,64:11,8:75,9:115
